Email,Class,Is_Phishing,Risk,Social_Engineering_Elements,Actions,Reason
SUBJECT: panda update EMAIL: spoke with jim adams at panda this p . m . his new guy steve curley is now on board working transportation for panda . jim and steve will likely call us tues pm or wed with a short list of questions on the project . jim is also waiting on feedback from teco on our proposal . kh,Legit,False,Low,"['update', 'panda']","[""Verify sender's identity with Jim Adams or Steve Curley directly."", 'Be cautious of unsolicited project updates']","Lack of personalization, unverifiable sender information."
SUBJECT: Re: opensuse 10.2 Beagle install source EMAIL: On Tue 2008-01-29 at 07:35 0000 Stuart Poulton wrote: > Dear All > > I have successfully been using > > http://download.opensuse.org/repositories/Beagle/openSUSE_10.2/ > > To provide an installation source of Beagle beagle-0.2.18-5.1. As a > replacement to beagle-0.2.12-28 which will consume 100 of a CPU > > However the above URL now no longer contains beagle. Attempts to use > either > > http://download.opensuse.org/repositories/Beagle/openSUSE_10.3/ > > or > > http://download.opensuse.org/repositories/Beagle/openSUSE_Factory/ > > Create the expected list of broken dependencies. > > Is there still in existence a repository with beagle for 10.2 > > Kind Regards > > Stuart Poulton > Please dont unless your going to work out the bugs it is not even considered beta much less rc. CWSIV,Legit,False,Low,"[' Urgency', 'Impersonation']","['Verify sender information', 'Check for spelling and grammar errors']","The email is from a legitimate OpenSUSE user, but the tone is somewhat aggressive and uses capital letters."
"SUBJECT: Re: Buildbot-devel PATCH 01/11 Do not consider the info directory as a leftover directory. EMAIL: On Fri 16 Nov 2007 18:48:23 0100 ""Axel Hecht"" wrote: > Not that theyre easy to pull out Select thread save as mbox > apply git-am saved-thread.mbox > test PYTHONPATH. trial buildbot.test > comment in a mail ""Reply to all"". > and nor is that flood of real general interest. ""Ignore thread"". What do you mean - Håvard ------------------------------------------------------------------------- This SF.net email is sponsored by: Microsoft Defy all challenges. MicrosoftR Visual Studio 2005. http://clk.atdmt.com/MRT/go/vse0120000070mrt/direct/01/ _______________________________________________ Buildbot-devel mailing list Buildbot-devel@lists.sourceforge.net https://lists.sourceforge.net/lists/listinfo/buildbot-devel",Legit,False,Low,['Flood of real general interest'],"['Mark as spam', 'Report as phishing']",The email appears to be a forwarded conversation thread from an old mailing list and contains no suspicious links or requests for sensitive information.
SUBJECT: opensuse Re: opensuse-factory 11.0 default filesystems again EMAIL: Ken Schneider wrote: > Gerald Pfeifer pecked at the keyboard and wrote: > >> On Fri 22 Feb 2008 Per Jessen wrote: >> >>> How about being really blunt and telling us what that reason is >>> >> And then I thought I was pretty blunt. - >> >> - Its interesting to see that a few here favor JFS but in terms of >> customer requests I do not recall a single one for JFS nor a single >> complaint when we deprecated JFS with SLES 10. >> >> - JFS doesnt really meet any needs that cannot be handled by other >> file systems in the distro and the future belongs to clustered >> file systems anyway so thats where we are actually focusing. >> > > Clustering is not of much use on a single drive home system. I cant > think of one instance where it would be beneficial. > Good point Ken - is this something that can be separated into a desktop vs server installation option during installation For me I have my own ideas about desktop installations knowing my own workload types but for servers a more advanced install with a greater choice of file system types exposed might be better. Taking sensible choices for the end user for a desktop installation can be a good thing - something weve started on already with the /home partition being suggested as a separate partition. Maybe an extension to this would be to suggest a preferred fs type for the profile of the machine being installed > >> - Our QA is not testing JFS nor do any of our partners as far as I >> can tell unlike the other file systems which regularily undergo >> massive testing. >> >> - If you run into a problem with ext3/ReiserFS/XFS these should be >> easily and quickly addressed by the openSUSE kernel maintainers >> for JFS I wouldnt know that. >> >> To me as a user the first might not be that strong of an argument though >> when it comes to data being mainstream is usually a good idea. The last >> two I find pretty convincing. :- >> >> Gerald >> > > To be honest someone choosing to use JFS for their fs after being recommended to use an alternate type during installation either doesnt need any help or else needs more help than can be provided. Two use cases that we could probably class as youre on your own : Cheers Pete,Legit,False,Low,"['separation of desktop and server installation options', 'suggested preferred fs type for the profile of the machine being installed']","['Verify that openSUSE supports JFS file system', 'Consult official documentation before making a decision']","The email appears to be a genuine discussion about file systems in openSUSE, with the sender discussing pros and cons of different file systems and seeking input from others."
FROM: Dave Long SUBJECT: Re: asynchronous I/O was Re: Gasp EMAIL: > Wrong VMS-like async io makes a huge difference in even what I > consider small programs. So it sounds as if to your thinking most useful apps are also trivial. Unless each key on my keyboard were to the apps distinct event sources I cant think of any of my usual job mix that would need hundreds or even tens of async requests perhaps you can explain how nontrivial apps will be compellingly useful > but its still not built in who knows when it will be. The point is its > not portable in either case. Does that lack of portability imply it isnt generally useful When it was apparent that TCP networks were useful berkeley sockets could be found even on VMS and Win 3.1 boxen Why would early Unix have run with the idea that if one wishes to do multiple things at the same time one can use a group of processes to do them - they had Multics as a counterexample - in the days of tiny memories and tapes people were more accustomed to writing programs that didnt run entirely in a single address space - one is a great number for an interface as log1 is 0 and specification can be implicit - some combination of the above Now as Hoare says: > There are two ways of constructing a software design. One way is to make > it so simple that there are obviously no deficiencies and the other is to > make it so complicated that there are no obvious deficiencies. As programmers weve been able to make our lives complicated for at least half a century the hardware interrupt gives us the rope. Part of Dijkstras inspiration for THE was the counterexample of IBMs multi- programmed boxes were these the same ones that inspired Mythical Man Month and I suppose he would say the question is how not to make a mess of it -- how should we structure computations so if we try to do ten times as many things at the same time reasoning about the resulting system is at most ten times more complex -- not one hundred and certainly not three and a half million times more. Compared to that project the prospect of writing a driver library for various vendors aio implementations seems to be truly trivial. -Dave Oracle in their quest for portability used to use raw disks for the database. This finessed the filesystem issue did it also allow them to roll their own set of async drivers,Legit,False,Low,[],"[""Verify sender's identity"", 'Check for spelling and grammar mistakes']","Email appears to be a genuine technical discussion from a known individual, lacking common phishing tactics such as urgent or threatening language."
FROM: George Dinwiddie SUBJECT: Re: use of base image / delta image for automated recovery from EMAIL: > Ben Mord said: > > >Ah. In that case you can use something considerably less powerful than > >VMWare. All you need is a machine configured to boot from CD-ROM and use > >a RAM disk for scratch space. Numerous Linux distros are available that > >let you boot a stateless but functional system from CD-ROM. > > But RAM is expensive and the directory structures of many systems e.g. > Windows are not sufficiently organized and standardized to make this > combination of bootable CDs and RAM drives practical. Even if you are > fortunate enough to be using Linux or another FHS-compliant nix you > still cant fit a lot on a CD. Its not unusual today to have gigabytes of > static multimedia content on the web server. This particular problem can be > alleviated somewhat by using DVDs but this is a temporary solution at best > which will become outdated quickly as our data requirements grow and hard > drives become cheaper. So just write-protect the hard disk for partitions that are static. I seem to recall an article on this early 80s Byte magazine perhaps for BBS systems or for testing unknown perhaps trojan horse software. - George -- ---------------------------------------------------------------------- George Dinwiddie gdinwiddie@alberg30.org The gods do not deduct from mans allotted span those hours spent in sailing. http://www.Alberg30.org/ ----------------------------------------------------------------------,Legit,False,Low,['Use of outdated technology'],"[""Verify sender's credentials,Be cautious with unsolicited technical advice""]","The email appears to be a genuine response from the sender, George Dinwiddie, regarding a previous conversation about using base images and delta images for automated recovery. The language is somewhat technical, but it lacks the urgency and sense of danger typically found in phishing emails."
SUBJECT: translation EMAIL: john benjamins publishing would like to call your attention to the following new title in the field of translation : a practical guide to software localization bert esselink 1998 . 280 pp . languages in world directories 3 us / canada : pb : 1 55619 743 8 price : usd 24 . 95 cloth : 1 55619 742 x price : usd 63 . 00 rest of the world : pb : 90 272 1954 0 nlg 50 . 00 cloth : 90 272 1953 2 nlg 126 . 00 with chapters on translating software translating on-line help and documentation translation memory tools project management and terminology management a practical guide to software localization covers many of the areas localizers must work in . much attention is paid to the daily tasks and responsibilities of project managers localization engineers and most importantly - translators all facing the localization . the examples in the reference a typical localization project translating from english into french italian german and spanish but the material is applicable to most language instances . the platforms discussed are microsoft windows and apples macos . the book does not cover such topics as internationalization double-byte localization multimedia localization and other operating systems such os / 2 and unix . still the book will fill a felt need for many . website support will provide regular updates . - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - bernadette martinez - keck tel : 215 836-1200 publicity / marketing fax : 215 836-1204 john benjamins north america e-mail : bernie @ benjamins . com po box 27519 philadelphia pa 19118-0519 check out the john benjamins web site : http : / / www . benjamins . com,Legit,False,Low,"['request to purchase book', 'appeal for attention']","[""Verify sender's legitimacy"", 'Check website for updates', 'Contact John Benjamins directly']",Lacks personalization and contains generic information about a book publication.
SUBJECT: Re: Python-Dev Python 32- and 64-bit living together EMAIL: On 2008-04-11 22:25 Sérgio Durigan Júnior wrote: > On Fri 2008-04-11 at 22:06 0200 M.-A. Lemburg wrote: > >>> Hmm right. I tried to modify the installation path using --libdir >>> in ./configure to /usr/lib64 but some .pyo objects still are >>> installed under /usr/lib. AFAIK these objects are bitness-dependent >>> i.e. if they were generated by a 32-bit Python they can only be >>> execute by a 32-bit Python - and vice-versa right >> Right. Sorry I misread you question. PYO and PYC files are not dependent on 32/64 bit sizes. >>> Is there any way to separate these arch-dependent files in /usr/lib >>> and /usr/lib64 depending on their bitness >> Theres no need for that. Only the config/ dir which is included >> in the Python lib dir is dependent on the Python configuration. > > > Im afraid I still dont understand your point. I mean if the .pyo > file is dependent on the bitness of the Python interpreter as you > confirmed in my first question therefore when I decide to have both > 32- and 64-bit Python on my system I must have two versions of > every .pyo file: one for 32- and another for 64-bit Python. What Ive > missed Sorry for the confusion. >> You should probably have a look at how RedHat or openSUSE solve >> these problems. Some of them have patched Python to fit their >> needs. You may have to do that as well. > > Ill sure take a look at them. Thanks -- Marc-Andre Lemburg eGenix.com Professional Python Services directly from the Source 1 Apr 11 2008 >>> Python/Zope Consulting and Support ... http://www.egenix.com/ >>> mxODBC.Zope.Database.Adapter ... http://zope.egenix.com/ >>> mxODBC mxDateTime mxTextTools ... http://python.egenix.com/ ________________________________________________________________________ :::: Try mxODBC.Zope.DA for WindowsLinuxSolarisMacOSX for free :::: eGenix.com Software Skills and Services GmbH Pastor-Loeh-Str.48 D-40764 Langenfeld Germany. CEO Dipl.-Math. Marc-Andre Lemburg Registered at Amtsgericht Duesseldorf: HRB 46611 _______________________________________________ Python-Dev mailing list zvllln-eum@python.org http://mail.python.org/mailman/listinfo/python-dev Unsubscribe: http://mail.python.org/mailman/options/python-dev/python-dev40tangomu.com,Legit,False,Low,"['Urgency', 'Authority']","[""Verify sender's email address and purpose of communication."", 'Check if the content is relevant to your work.']","This email appears to be a response from a legitimate mailing list, and the tone is neutral. However, it contains a suspicious link and may be trying to create a sense of urgency or authority to convince you to take action."
SUBJECT: Re: Python-Dev Proposal: from __future__ import unicode_string_literals EMAIL: > For example if Im using the real source py2.6 code and I create a > patch that works for me it is ready for testing and submission. If > Im using the generated py3 code then I first have to get a copy of > the source 2.6 figure out how I would have written it there then > keep tweaking it so that the generator eventually puts out ... what I > had originally written by hand. Yes thats tedious. In that case it is easier to edit the original source and then rerun 2to3 rather than editing the compiler output. Regards Martin _______________________________________________ Python-Dev mailing list zvllln-eum@python.org http://mail.python.org/mailman/listinfo/python-dev Unsubscribe: http://mail.python.org/mailman/options/python-dev/python-dev40tangomu.com,Legit,False,Low,"['unsolicited advice', 'use of generic terms']","[""Verify sender's identity"", 'Be cautious of unsolicited emails claiming to be from a reputable source']",Lacks specific details about the Python project and uses general terms.
FROM: pudge@perl.org SUBJECT: use Perl Headlines for 2002-09-04 EMAIL: use Perl Daily Headline Mailer Perl CMS Systems posted by ziggy on Tuesday September 03 @05:00 tools http://use.perl.org/article.plsid02/09/02/1827239 1998 Perl Conference CD Online posted by gnat on Tuesday September 03 @19:34 news http://use.perl.org/article.plsid02/09/03/2334251 Bricolage 1.4.0 Escapes posted by chip on Tuesday September 03 @19:57 tools http://use.perl.org/article.plsid02/09/04/002204 Copyright 1997-2002 pudge. All rights reserved. You have received this message because you subscribed to it on use Perl. To stop receiving this and other messages from use Perl or to add more messages or change your preferences please go to your user page. http://use.perl.org/my/messages/ You can log in and change your preferences from there.,Legit,False,Low,"['subscribed to', 'add more messages']","['Check the URL for any typos or suspicious characters.', 'Verify your subscription status by logging in to your user page.']","The email is from a legitimate source, but it contains social engineering elements that try to trick the recipient into revealing their user preferences or account information without explicitly asking for sensitive data."
